标志,ID,人物,位置,内容,跳转,正确选项,标号
+,0,讲解员,左,欢迎来到巴蜀文化展厅！这里陈列着古蜀文明的珍贵遗存。,1,,
+,1,讲解员,左,巴蜀文化是长江上游地区最具代表性的古代文明之一，距今已有数千年历史。,2,,
+,2,讲解员,左,从三星堆的神秘青铜面具，到都江堰的千年水利工程，每一处遗迹都在诉说着先民的智慧。,3,,
+,3,讲解员,左,准备好深入了解巴蜀文化了吗？,4,,
*,4,,,准备好了,6,,
*,5,,,我再想想,41,,
+,6,讲解员,左,第一题：|三星堆遗址出土的标志性青铜器是什么？,8,,
/,8,,,青铜大立人像,12,1,0
/,9,,,四羊方尊,13,,1
/,10,,,司母戊鼎,13,,2
/,11,,,编钟,13,,3
+,12,讲解员,左,没错！三星堆出土的青铜大立人像高达2.62米，是迄今发现的最大青铜立像。|第二题：都江堰水利工程始建于哪个时期？,14,,
+,13,讲解员,左,不对哦，四羊方尊和司母戊鼎都是中原青铜器，再想想吧。,6,,
/,14,,,春秋时期,19,,0
/,15,,,战国时期,18,1,1
/,16,,,秦朝,19,,2
/,17,,,汉朝,19,,3
+,18,讲解员,左,正确！都江堰由秦国蜀郡太守李冰父子于公元前256年主持修建，至今仍在发挥作用。|第三题：金沙遗址出土的太阳神鸟金饰距今约多少年？,20,,
+,19,讲解员,左,不对哦，都江堰修建于战国末期，再想想吧。,14,,
/,20,,,约一千年,25,,0
/,21,,,约两千年,25,,1
/,22,,,约三千年,24,1,2
/,23,,,约四千年,25,,3
+,24,讲解员,左,答对了！太阳神鸟金饰距今约三千年，是古蜀先民太阳崇拜的珍贵实物，也是中国文化遗产标志的原型。|第四题：川剧中最具代表性的绝技是什么？,26,,
+,25,讲解员,左,不对哦，太阳神鸟金饰距今约三千年，再想想吧。,20,,
/,26,,,变脸,30,1,0
/,27,,,喷火,31,,1
/,28,,,滚灯,31,,2
/,29,,,吐火,31,,3
+,30,讲解员,左,没错！川剧变脸是国家级非物质文化遗产，演员能在瞬间变换多张脸谱，技艺精湛令人叹为观止。|第五题：以下哪位历史人物曾在蜀地推行治蜀之策？,32,,
+,31,讲解员,左,不对哦，川剧变脸才是最具代表性的绝技，再想想吧。,26,,
/,32,,,李白,39,,0
/,33,,,诸葛亮,38,1,1
/,34,,,杜甫,39,,2
/,35,,,苏轼,39,,3
+,38,讲解员,左,答对了！诸葛亮辅佐刘备建立蜀汉政权，推行依法治蜀、发展农桑，为巴蜀地区的繁荣做出了重要贡献。|恭喜你完成了巴蜀文化知识问答！,40,,
+,39,讲解员,左,不对哦，诸葛亮才是推行治蜀之策的关键人物，再想想吧。,32,,
END,40,,,,,,
RE,41,,,,,,
